SModelS_status Analysis Disp MT_displaced_xsec THSCPM1b Tx Tx_weights file r_max m(N1) m(H+) ctau(H+) BR(H+)
Excluded ATLAS-SUSY-2018-14 2.473 1.617 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 2.4732262901702415}" IDM_mhc_460_mn1_6.3095e-05_dm_5_la2_0.01_laL_0.01_.slha.py 2.473 6.309e-05 460.0 1.541 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 1.992395222793977 THSCPM1b "{'THSCPM1b': 1.992395222793977}" IDM_mhc_660_mn1_0.050118_dm_5_la2_0.01_laL_0.01_.slha.py 1.992 0.05011 660.0 589.035 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.02121 2.3046133352619544 THSCPM1b "{'THSCPM1b': 2.3046133352619544}" IDM_mhc_640_mn1_0.031622_dm_5_la2_0.01_laL_0.01_.slha.py 2.304 0.03162 640.0 395.444 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.8689 4.506 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 0.8689005685282165}" IDM_mhc_380_mn1_7.9432e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.8689 7.943e-05 380.0 2.847 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 23.609 16.763785865198624 THSCPM1b "{'THSCPM1b': 16.763785865198624}" IDM_mhc_260_mn1_0.00015848_dm_5_la2_0.01_laL_0.01_.slha.py 16.763 0.0001584 260.0 12.332 1[N1,mu-]
Non-excluded CMS-EXO-13-006 0.0 0.4347 0.07915625610894451 THSCPM1b,THSCPM2b "{'THSCPM1b': 0.07915625610894451, 'THSCPM2b': 1.9293808369437953e-05}" IDM_mhc_620_mn1_0.00031622_dm_5_la2_0.01_laL_0.01_.slha.py 0.07917 0.0003162 620.0 4.216 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.6097 0.05218 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 0.6097818993551302}" IDM_mhc_780_mn1_2.5118e-06_dm_5_la2_0.01_laL_0.01_.slha.py 0.6097 2.511e-06 780.0 0.02112 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 1.059 0.4151 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 1.0590137174124794}" IDM_mhc_600_mn1_7.9432e-05_dm_5_la2_0.01_laL_0.01_.slha.py 1.059 7.943e-05 600.0 1.134 1[N1,mu-]
Excluded CMS-EXO-13-006 0.0 4.05 3.660152626983488 THSCPM1b,THSCPM2b "{'THSCPM1b': 3.660152626983488, 'THSCPM2b': 0.0003136512367824751}" IDM_mhc_400_mn1_0.0003981_dm_5_la2_0.01_laL_0.01_.slha.py 3.66 0.0003981 400.0 12.897 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.1216 1.030541892291237 THSCPM1b "{'THSCPM1b': 1.030541892291237}" IDM_mhc_680_mn1_0.003981_dm_5_la2_0.01_laL_0.01_.slha.py 1.03 0.003981 680.0 44.144 1[N1,mu-]
