deltaM;channel;partialWidth;fpi
4.2500E+00;~H+ -> nl,L,~X;8.5812E-11;0
4.2500E+00;~H+ -> nl,L,~H3;7.3015E-11;0
4.2500E+00;~H+ -> ~X,pi+;2.7543E-11;1
4.2500E+00;total;3.0637E-09;-1
4.3000E+00;~H+ -> u,D,~X;6.3370E-10;0
4.3000E+00;~H+ -> c,S,~X;5.7806E-10;0
4.3000E+00;~H+ -> u,D,~H3;5.6348E-10;0
4.3000E+00;~H+ -> c,S,~H3;5.1176E-10;0
4.3000E+00;~H+ -> ne,E,~X;2.1124E-10;0
4.3000E+00;~H+ -> nm,M,~X;2.1061E-10;0
4.3000E+00;~H+ -> ne,E,~H3;1.8784E-10;0
4.3000E+00;~H+ -> nm,M,~H3;1.8725E-10;0
4.3000E+00;~H+ -> nl,L,~X;9.2820E-11;0
4.3000E+00;~H+ -> nl,L,~H3;7.9216E-11;0
4.3000E+00;~H+ -> ~X,pi+;2.8522E-11;1
4.3000E+00;total;3.2560E-09;-1
4.3500E+00;~H+ -> u,D,~X;6.7133E-10;0
4.3500E+00;~H+ -> c,S,~X;6.1368E-10;0
4.3500E+00;~H+ -> u,D,~H3;5.9777E-10;0
4.3500E+00;~H+ -> c,S,~H3;5.4411E-10;0
4.3500E+00;~H+ -> ne,E,~X;2.2379E-10;0
4.3500E+00;~H+ -> nm,M,~X;2.2313E-10;0
4.3500E+00;~H+ -> ne,E,~H3;1.9927E-10;0
4.3500E+00;~H+ -> nm,M,~H3;1.9865E-10;0
4.3500E+00;~H+ -> nl,L,~X;1.0026E-10;0
4.3500E+00;~H+ -> nl,L,~H3;8.5812E-11;0
4.3500E+00;~H+ -> ~X,pi+;2.9525E-11;1
4.3500E+00;total;3.4578E-09;-1
4.4000E+00;~H+ -> u,D,~X;7.1073E-10;0
4.4000E+00;~H+ -> c,S,~X;6.5101E-10;0
4.4000E+00;~H+ -> u,D,~H3;6.3370E-10;0
4.4000E+00;~H+ -> c,S,~H3;5.7807E-10;0
4.4000E+00;~H+ -> ne,E,~X;2.3692E-10;0
4.4000E+00;~H+ -> nm,M,~X;2.3624E-10;0
4.4000E+00;~H+ -> ne,E,~H3;2.1124E-10;0
4.4000E+00;~H+ -> nm,M,~H3;2.1061E-10;0
4.4000E+00;~H+ -> nl,L,~X;1.0814E-10;0
4.4000E+00;~H+ -> nl,L,~H3;9.2821E-11;0
4.4000E+00;~H+ -> ~X,pi+;3.0551E-11;1
4.4000E+00;total;3.6695E-09;-1
4.4500E+00;~H+ -> u,D,~X;7.5196E-10;0
4.4500E+00;~H+ -> c,S,~X;6.9012E-10;0
4.4500E+00;~H+ -> u,D,~H3;6.7133E-10;0
4.4500E+00;~H+ -> c,S,~H3;6.1368E-10;0
4.4500E+00;~H+ -> ne,E,~X;2.5067E-10;0
4.4500E+00;~H+ -> nm,M,~X;2.4996E-10;0
4.4500E+00;~H+ -> ne,E,~H3;2.2379E-10;0
4.4500E+00;~H+ -> nm,M,~H3;2.2313E-10;0
4.4500E+00;~H+ -> nl,L,~X;1.1650E-10;0
4.4500E+00;~H+ -> nl,L,~H3;1.0026E-10;0
4.4500E+00;~H+ -> ~X,pi+;3.1600E-11;1
4.4500E+00;total;3.8914E-09;-1
4.5000E+00;~H+ -> u,D,~X;7.9508E-10;0
4.5000E+00;~H+ -> c,S,~X;7.3107E-10;0
4.5000E+00;~H+ -> u,D,~H3;7.1074E-10;0
4.5000E+00;~H+ -> c,S,~H3;6.5101E-10;0
4.5000E+00;~H+ -> ne,E,~X;2.6504E-10;0
4.5000E+00;~H+ -> nm,M,~X;2.6431E-10;0
4.5000E+00;~H+ -> ne,E,~H3;2.3692E-10;0
4.5000E+00;~H+ -> nm,M,~H3;2.3624E-10;0
4.5000E+00;~H+ -> nl,L,~X;1.2534E-10;0
4.5000E+00;~H+ -> nl,L,~H3;1.0814E-10;0
4.5000E+00;~H+ -> ~X,pi+;3.2672E-11;1
4.5000E+00;total;4.1239E-09;-1
4.5500E+00;~H+ -> u,D,~X;8.4016E-10;0
4.5500E+00;~H+ -> c,S,~X;7.7393E-10;0
4.5500E+00;~H+ -> u,D,~H3;7.5197E-10;0
4.5500E+00;~H+ -> c,S,~H3;6.9012E-10;0
4.5500E+00;~H+ -> ne,E,~X;2.8007E-10;0
4.5500E+00;~H+ -> nm,M,~X;2.7931E-10;0
4.5500E+00;~H+ -> ne,E,~H3;2.5067E-10;0
4.5500E+00;~H+ -> nm,M,~H3;2.4996E-10;0
4.5500E+00;~H+ -> nl,L,~X;1.3468E-10;0
4.5500E+00;~H+ -> nl,L,~H3;1.1650E-10;0
4.5500E+00;~H+ -> ~X,pi+;3.3769E-11;1
4.5500E+00;total;4.3674E-09;-1
4.6000E+00;~H+ -> u,D,~X;8.8725E-10;0
4.6000E+00;~H+ -> c,S,~X;8.1875E-10;0
4.6000E+00;~H+ -> u,D,~H3;7.9509E-10;0
4.6000E+00;~H+ -> c,S,~H3;7.3107E-10;0
4.6000E+00;~H+ -> ne,E,~X;2.9576E-10;0
4.6000E+00;~H+ -> nm,M,~X;2.9499E-10;0
4.6000E+00;~H+ -> ne,E,~H3;2.6504E-10;0
4.6000E+00;~H+ -> nm,M,~H3;2.6431E-10;0
4.6000E+00;~H+ -> nl,L,~X;1.4455E-10;0
4.6000E+00;~H+ -> nl,L,~H3;1.2534E-10;0
4.6000E+00;~H+ -> ~X,pi+;3.4890E-11;1
4.6000E+00;total;4.6222E-09;-1
4.6500E+00;~H+ -> u,D,~X;9.3643E-10;0
4.6500E+00;~H+ -> c,S,~X;8.6561E-10;0
4.6500E+00;~H+ -> u,D,~H3;8.4016E-10;0
4.6500E+00;~H+ -> c,S,~H3;7.7393E-10;0
4.6500E+00;~H+ -> ne,E,~X;3.1216E-10;0
4.6500E+00;~H+ -> nm,M,~X;3.1135E-10;0
4.6500E+00;~H+ -> ne,E,~H3;2.8007E-10;0
4.6500E+00;~H+ -> nm,M,~H3;2.7931E-10;0
4.6500E+00;~H+ -> nl,L,~X;1.5496E-10;0
4.6500E+00;~H+ -> nl,L,~H3;1.3468E-10;0
4.6500E+00;~H+ -> ~X,pi+;3.6035E-11;1
4.6500E+00;total;4.8887E-09;-1
4.7000E+00;~H+ -> u,D,~X;9.8777E-10;0
4.7000E+00;~H+ -> c,S,~X;9.1458E-10;0
4.7000E+00;~H+ -> u,D,~H3;8.8725E-10;0
4.7000E+00;~H+ -> c,S,~H3;8.1876E-10;0
4.7000E+00;~H+ -> ne,E,~X;3.2927E-10;0
4.7000E+00;~H+ -> nm,M,~X;3.2844E-10;0
4.7000E+00;~H+ -> ne,E,~H3;2.9576E-10;0
4.7000E+00;~H+ -> nm,M,~H3;2.9499E-10;0
4.7000E+00;~H+ -> nl,L,~X;1.6595E-10;0
4.7000E+00;~H+ -> nl,L,~H3;1.4455E-10;0
4.7000E+00;~H+ -> ~X,pi+;3.7205E-11;1
4.7000E+00;total;5.1673E-09;-1
4.7500E+00;~H+ -> u,D,~X;1.0413E-09;0
4.7500E+00;~H+ -> c,S,~X;9.6572E-10;0
4.7500E+00;~H+ -> u,D,~H3;9.3644E-10;0
4.7500E+00;~H+ -> c,S,~H3;8.6562E-10;0
4.7500E+00;~H+ -> ne,E,~X;3.4712E-10;0
4.7500E+00;~H+ -> nm,M,~X;3.4627E-10;0
4.7500E+00;~H+ -> ne,E,~H3;3.1216E-10;0
4.7500E+00;~H+ -> nm,M,~H3;3.1135E-10;0
4.7500E+00;~H+ -> nl,L,~X;1.7752E-10;0
4.7500E+00;~H+ -> nl,L,~H3;1.5497E-10;0
4.7500E+00;~H+ -> ~X,pi+;3.8399E-11;1
4.7500E+00;total;5.4585E-09;-1
4.8000E+00;~H+ -> u,D,~X;1.0972E-09;0
4.8000E+00;~H+ -> c,S,~X;1.0191E-09;0
4.8000E+00;~H+ -> u,D,~H3;9.8777E-10;0
4.8000E+00;~H+ -> c,S,~H3;9.1458E-10;0
4.8000E+00;~H+ -> ne,E,~X;3.6574E-10;0
4.8000E+00;~H+ -> nm,M,~X;3.6486E-10;0
4.8000E+00;~H+ -> ne,E,~H3;3.2927E-10;0
4.8000E+00;~H+ -> nm,M,~H3;3.2844E-10;0
4.8000E+00;~H+ -> nl,L,~X;1.8970E-10;0
4.8000E+00;~H+ -> nl,L,~H3;1.6595E-10;0
4.8000E+00;~H+ -> ~X,pi+;3.9619E-11;1
4.8000E+00;total;5.7626E-09;-1
4.8500E+00;~H+ -> u,D,~X;1.1554E-09;0
4.8500E+00;~H+ -> c,S,~X;1.0748E-09;0
4.8500E+00;~H+ -> u,D,~H3;1.0413E-09;0
4.8500E+00;~H+ -> c,S,~H3;9.6572E-10;0
4.8500E+00;~H+ -> ne,E,~X;3.8515E-10;0
4.8500E+00;~H+ -> nm,M,~X;3.8424E-10;0
4.8500E+00;~H+ -> ne,E,~H3;3.4712E-10;0
4.8500E+00;~H+ -> nm,M,~H3;3.4627E-10;0
4.8500E+00;~H+ -> nl,L,~X;2.0252E-10;0
4.8500E+00;~H+ -> nl,L,~H3;1.7752E-10;0
4.8500E+00;~H+ -> ~X,pi+;4.0865E-11;1
4.8500E+00;total;6.0801E-09;-1
4.9000E+00;~H+ -> u,D,~X;1.2161E-09;0
4.9000E+00;~H+ -> c,S,~X;1.1329E-09;0
4.9000E+00;~H+ -> u,D,~H3;1.0972E-09;0
4.9000E+00;~H+ -> c,S,~H3;1.0191E-09;0
4.9000E+00;~H+ -> ne,E,~X;4.0538E-10;0
4.9000E+00;~H+ -> nm,M,~X;4.0444E-10;0
4.9000E+00;~H+ -> ne,E,~H3;3.6574E-10;0
4.9000E+00;~H+ -> nm,M,~H3;3.6486E-10;0
4.9000E+00;~H+ -> nl,L,~X;2.1599E-10;0
4.9000E+00;~H+ -> nl,L,~H3;1.8970E-10;0
4.9000E+00;~H+ -> ~X,pi+;4.2136E-11;1
4.9000E+00;total;6.4114E-09;-1
4.9500E+00;~H+ -> u,D,~X;1.2793E-09;0
4.9500E+00;~H+ -> c,S,~X;1.1935E-09;0
4.9500E+00;~H+ -> u,D,~H3;1.1554E-09;0
4.9500E+00;~H+ -> c,S,~H3;1.0748E-09;0
4.9500E+00;~H+ -> ne,E,~X;4.2644E-10;0
4.9500E+00;~H+ -> nm,M,~X;4.2547E-10;0
4.9500E+00;~H+ -> ne,E,~H3;3.8515E-10;0
4.9500E+00;~H+ -> nm,M,~H3;3.8424E-10;0
4.9500E+00;~H+ -> nl,L,~X;2.3015E-10;0
4.9500E+00;~H+ -> nl,L,~H3;2.0252E-10;0
4.9500E+00;~H+ -> ~X,pi+;4.3433E-11;1
4.9500E+00;total;6.7569E-09;-1
5.0000E+00;~H+ -> u,D,~X;1.3451E-09;0
5.0000E+00;~H+ -> c,S,~X;1.2566E-09;0
5.0000E+00;~H+ -> u,D,~H3;1.2161E-09;0
5.0000E+00;~H+ -> c,S,~H3;1.1329E-09;0
5.0000E+00;~H+ -> ne,E,~X;4.4837E-10;0
5.0000E+00;~H+ -> nm,M,~X;4.4737E-10;0
5.0000E+00;~H+ -> ne,E,~H3;4.0538E-10;0
5.0000E+00;~H+ -> nm,M,~H3;4.0444E-10;0
5.0000E+00;~H+ -> nl,L,~X;2.4501E-10;0
5.0000E+00;~H+ -> nl,L,~H3;2.1600E-10;0
5.0000E+00;~H+ -> ~X,pi+;4.4756E-11;1
5.0000E+00;total;7.1172E-09;-1
5.0500E+00;~H+ -> u,D,~X;1.4135E-09;0
5.0500E+00;~H+ -> c,S,~X;1.3223E-09;0
5.0500E+00;~H+ -> u,D,~H3;1.2793E-09;0
5.0500E+00;~H+ -> c,S,~H3;1.1935E-09;0
5.0500E+00;~H+ -> ne,E,~X;4.7120E-10;0
5.0500E+00;~H+ -> nm,M,~X;4.7017E-10;0
5.0500E+00;~H+ -> ne,E,~H3;4.2644E-10;0
5.0500E+00;~H+ -> nm,M,~H3;4.2547E-10;0
5.0500E+00;~H+ -> nl,L,~X;2.6060E-10;0
5.0500E+00;~H+ -> nl,L,~H3;2.3015E-10;0
5.0500E+00;~H+ -> ~X,pi+;4.6106E-11;1
5.0500E+00;total;7.4926E-09;-1
5.1000E+00;~H+ -> u,D,~X;1.4848E-09;0
5.1000E+00;~H+ -> c,S,~X;1.3907E-09;0
5.1000E+00;~H+ -> u,D,~H3;1.3451E-09;0
5.1000E+00;~H+ -> c,S,~H3;1.2566E-09;0
5.1000E+00;~H+ -> ne,E,~X;4.9494E-10;0
5.1000E+00;~H+ -> nm,M,~X;4.9388E-10;0
5.1000E+00;~H+ -> ne,E,~H3;4.4837E-10;0
5.1000E+00;~H+ -> nm,M,~H3;4.4738E-10;0
5.1000E+00;~H+ -> nl,L,~X;2.7694E-10;0
5.1000E+00;~H+ -> nl,L,~H3;2.4501E-10;0
5.1000E+00;~H+ -> ~X,pi+;4.7482E-11;1
5.1000E+00;total;7.8836E-09;-1
5.1500E+00;~H+ -> u,D,~X;1.5588E-09;0
5.1500E+00;~H+ -> c,S,~X;1.4619E-09;0
5.1500E+00;~H+ -> u,D,~H3;1.4135E-09;0
5.1500E+00;~H+ -> c,S,~H3;1.3223E-09;0
5.1500E+00;~H+ -> ne,E,~X;5.1963E-10;0
5.1500E+00;~H+ -> nm,M,~X;5.1854E-10;0
5.1500E+00;~H+ -> ne,E,~H3;4.7120E-10;0
5.1500E+00;~H+ -> nm,M,~H3;4.7017E-10;0
5.1500E+00;~H+ -> nl,L,~X;2.9406E-10;0
5.1500E+00;~H+ -> nl,L,~H3;2.6060E-10;0
5.1500E+00;~H+ -> ~X,pi+;4.8885E-11;1
5.1500E+00;total;8.2908E-09;-1
5.2000E+00;~H+ -> u,D,~X;1.6358E-09;0
5.2000E+00;~H+ -> c,S,~X;1.5360E-09;0
5.2000E+00;~H+ -> u,D,~H3;1.4848E-09;0
5.2000E+00;~H+ -> c,S,~H3;1.3907E-09;0
5.2000E+00;~H+ -> ne,E,~X;5.4529E-10;0
5.2000E+00;~H+ -> nm,M,~X;5.4417E-10;0
5.2000E+00;~H+ -> ne,E,~H3;4.9494E-10;0
5.2000E+00;~H+ -> nm,M,~H3;4.9388E-10;0
5.2000E+00;~H+ -> nl,L,~X;3.1199E-10;0
5.2000E+00;~H+ -> nl,L,~H3;2.7694E-10;0
5.2000E+00;~H+ -> ~X,pi+;5.0316E-11;1
5.2000E+00;total;8.7145E-09;-1
5.2500E+00;~H+ -> u,D,~X;1.7158E-09;0
5.2500E+00;~H+ -> c,S,~X;1.6130E-09;0
5.2500E+00;~H+ -> u,D,~H3;1.5588E-09;0
5.2500E+00;~H+ -> c,S,~H3;1.4619E-09;0
5.2500E+00;~H+ -> ne,E,~X;5.7196E-10;0
5.2500E+00;~H+ -> nm,M,~X;5.7080E-10;0
5.2500E+00;~H+ -> ne,E,~H3;5.1963E-10;0
5.2500E+00;~H+ -> nm,M,~H3;5.1854E-10;0
5.2500E+00;~H+ -> nl,L,~X;3.3075E-10;0
5.2500E+00;~H+ -> nl,L,~H3;2.9406E-10;0
5.2500E+00;~H+ -> ~X,pi+;5.1774E-11;1
5.2500E+00;total;9.1553E-09;-1
5.3000E+00;~H+ -> u,D,~X;1.7989E-09;0
5.3000E+00;~H+ -> c,S,~X;1.6931E-09;0
5.3000E+00;~H+ -> u,D,~H3;1.6358E-09;0
5.3000E+00;~H+ -> c,S,~H3;1.5360E-09;0
5.3000E+00;~H+ -> ne,E,~X;5.9966E-10;0
5.3000E+00;~H+ -> nm,M,~X;5.9847E-10;0
5.3000E+00;~H+ -> ne,E,~H3;5.4529E-10;0
5.3000E+00;~H+ -> nm,M,~H3;5.4417E-10;0
5.3000E+00;~H+ -> nl,L,~X;3.5038E-10;0
5.3000E+00;~H+ -> nl,L,~H3;3.1199E-10;0
5.3000E+00;~H+ -> ~X,pi+;5.3260E-11;1
5.3000E+00;total;9.6138E-09;-1
5.3500E+00;~H+ -> u,D,~X;1.8852E-09;0
5.3500E+00;~H+ -> c,S,~X;1.7763E-09;0
5.3500E+00;~H+ -> u,D,~H3;1.7158E-09;0
5.3500E+00;~H+ -> c,S,~H3;1.6130E-09;0
5.3500E+00;~H+ -> ne,E,~X;6.2842E-10;0
5.3500E+00;~H+ -> nm,M,~X;6.2719E-10;0
5.3500E+00;~H+ -> ne,E,~H3;5.7196E-10;0
5.3500E+00;~H+ -> nm,M,~H3;5.7080E-10;0
5.3500E+00;~H+ -> nl,L,~X;3.7089E-10;0
5.3500E+00;~H+ -> nl,L,~H3;3.3075E-10;0
5.3500E+00;~H+ -> ~X,pi+;5.4774E-11;1
5.3500E+00;total;1.0090E-08;-1
5.4000E+00;~H+ -> u,D,~X;1.9748E-09;0
5.4000E+00;~H+ -> c,S,~X;1.8627E-09;0
5.4000E+00;~H+ -> u,D,~H3;1.7989E-09;0
5.4000E+00;~H+ -> c,S,~H3;1.6931E-09;0
5.4000E+00;~H+ -> ne,E,~X;6.5827E-10;0
5.4000E+00;~H+ -> nm,M,~X;6.5701E-10;0
5.4000E+00;~H+ -> ne,E,~H3;5.9966E-10;0
5.4000E+00;~H+ -> nm,M,~H3;5.9847E-10;0
5.4000E+00;~H+ -> nl,L,~X;3.9232E-10;0
5.4000E+00;~H+ -> nl,L,~H3;3.5038E-10;0
5.4000E+00;~H+ -> ~X,pi+;5.6316E-11;1
5.4000E+00;total;1.0586E-08;-1
5.4500E+00;~H+ -> u,D,~X;2.0677E-09;0
5.4500E+00;~H+ -> c,S,~X;1.9524E-09;0
5.4500E+00;~H+ -> u,D,~H3;1.8852E-09;0
5.4500E+00;~H+ -> c,S,~H3;1.7763E-09;0
5.4500E+00;~H+ -> ne,E,~X;6.8925E-10;0
5.4500E+00;~H+ -> nm,M,~X;6.8795E-10;0
5.4500E+00;~H+ -> ne,E,~H3;6.2842E-10;0
5.4500E+00;~H+ -> nm,M,~H3;6.2720E-10;0
5.4500E+00;~H+ -> nl,L,~X;4.1469E-10;0
5.4500E+00;~H+ -> nl,L,~H3;3.7089E-10;0
5.4500E+00;~H+ -> ~X,pi+;5.7887E-11;1
5.4500E+00;total;1.1100E-08;-1
5.5000E+00;~H+ -> u,D,~X;2.1641E-09;0
5.5000E+00;~H+ -> c,S,~X;2.0456E-09;0
5.5000E+00;~H+ -> u,D,~H3;1.9748E-09;0
5.5000E+00;~H+ -> c,S,~H3;1.8627E-09;0
5.5000E+00;~H+ -> ne,E,~X;7.2138E-10;0
5.5000E+00;~H+ -> nm,M,~X;7.2005E-10;0
5.5000E+00;~H+ -> ne,E,~H3;6.5827E-10;0
5.5000E+00;~H+ -> nm,M,~H3;6.5701E-10;0
5.5000E+00;~H+ -> nl,L,~X;4.3804E-10;0
5.5000E+00;~H+ -> nl,L,~H3;3.9232E-10;0
5.5000E+00;~H+ -> ~X,pi+;5.9486E-11;1
5.5000E+00;total;1.1634E-08;-1
5.5500E+00;~H+ -> u,D,~X;2.2640E-09;0
5.5500E+00;~H+ -> c,S,~X;2.1422E-09;0
5.5500E+00;~H+ -> u,D,~H3;2.0677E-09;0
5.5500E+00;~H+ -> c,S,~H3;1.9525E-09;0
5.5500E+00;~H+ -> ne,E,~X;7.5469E-10;0
5.5500E+00;~H+ -> nm,M,~X;7.5333E-10;0
5.5500E+00;~H+ -> ne,E,~H3;6.8925E-10;0
5.5500E+00;~H+ -> nm,M,~H3;6.8796E-10;0
5.5500E+00;~H+ -> nl,L,~X;4.6240E-10;0
5.5500E+00;~H+ -> nl,L,~H3;4.1469E-10;0
5.5500E+00;~H+ -> ~X,pi+;6.1115E-11;1
5.5500E+00;total;1.2189E-08;-1
5.6000E+00;~H+ -> u,D,~X;2.3676E-09;0
5.6000E+00;~H+ -> c,S,~X;2.2424E-09;0
5.6000E+00;~H+ -> u,D,~H3;2.1641E-09;0
5.6000E+00;~H+ -> c,S,~H3;2.0456E-09;0
5.6000E+00;~H+ -> ne,E,~X;7.8923E-10;0
5.6000E+00;~H+ -> nm,M,~X;7.8783E-10;0
5.6000E+00;~H+ -> ne,E,~H3;7.2138E-10;0
5.6000E+00;~H+ -> nm,M,~H3;7.2005E-10;0
5.6000E+00;~H+ -> nl,L,~X;4.8779E-10;0
5.6000E+00;~H+ -> nl,L,~H3;4.3804E-10;0
5.6000E+00;~H+ -> ~X,pi+;6.2772E-11;1
5.6000E+00;total;1.2764E-08;-1
5.6500E+00;~H+ -> u,D,~X;2.4750E-09;0
5.6500E+00;~H+ -> c,S,~X;2.3463E-09;0
5.6500E+00;~H+ -> u,D,~H3;2.2640E-09;0
5.6500E+00;~H+ -> c,S,~H3;2.1422E-09;0
5.6500E+00;~H+ -> ne,E,~X;8.2502E-10;0
5.6500E+00;~H+ -> nm,M,~X;8.2358E-10;0
5.6500E+00;~H+ -> ne,E,~H3;7.5470E-10;0
5.6500E+00;~H+ -> nm,M,~H3;7.5333E-10;0
5.6500E+00;~H+ -> nl,L,~X;5.1425E-10;0
5.6500E+00;~H+ -> nl,L,~H3;4.6240E-10;0
5.6500E+00;~H+ -> ~X,pi+;6.4460E-11;1
5.6500E+00;total;1.3361E-08;-1
5.7000E+00;~H+ -> u,D,~X;2.5862E-09;0
5.7000E+00;~H+ -> c,S,~X;2.4541E-09;0
5.7000E+00;~H+ -> u,D,~H3;2.3676E-09;0
5.7000E+00;~H+ -> c,S,~H3;2.2424E-09;0
5.7000E+00;~H+ -> ne,E,~X;8.6209E-10;0
5.7000E+00;~H+ -> nm,M,~X;8.6061E-10;0
5.7000E+00;~H+ -> ne,E,~H3;7.8923E-10;0
5.7000E+00;~H+ -> nm,M,~H3;7.8783E-10;0
5.7000E+00;~H+ -> nl,L,~X;5.4181E-10;0
5.7000E+00;~H+ -> nl,L,~H3;4.8779E-10;0
5.7000E+00;~H+ -> ~X,pi+;6.6177E-11;1
5.7000E+00;total;1.3980E-08;-1
5.7500E+00;~H+ -> u,D,~X;2.7014E-09;0
5.7500E+00;~H+ -> c,S,~X;2.5657E-09;0
5.7500E+00;~H+ -> u,D,~H3;2.4750E-09;0
5.7500E+00;~H+ -> c,S,~H3;2.3464E-09;0
5.7500E+00;~H+ -> ne,E,~X;9.0048E-10;0
5.7500E+00;~H+ -> nm,M,~X;8.9897E-10;0
5.7500E+00;~H+ -> ne,E,~H3;8.2502E-10;0
5.7500E+00;~H+ -> nm,M,~H3;8.2358E-10;0
5.7500E+00;~H+ -> nl,L,~X;5.7051E-10;0
5.7500E+00;~H+ -> nl,L,~H3;5.1425E-10;0
5.7500E+00;~H+ -> ~X,pi+;6.7924E-11;1
5.7500E+00;total;1.4621E-08;-1
5.8000E+00;~H+ -> u,D,~X;2.8206E-09;0
5.8000E+00;~H+ -> c,S,~X;2.6813E-09;0
5.8000E+00;~H+ -> u,D,~H3;2.5862E-09;0
5.8000E+00;~H+ -> c,S,~H3;2.4541E-09;0
5.8000E+00;~H+ -> ne,E,~X;9.4023E-10;0
5.8000E+00;~H+ -> nm,M,~X;9.3867E-10;0
5.8000E+00;~H+ -> ne,E,~H3;8.6209E-10;0
5.8000E+00;~H+ -> nm,M,~H3;8.6062E-10;0
5.8000E+00;~H+ -> nl,L,~X;6.0037E-10;0
5.8000E+00;~H+ -> nl,L,~H3;5.4182E-10;0
5.8000E+00;~H+ -> ~X,pi+;6.9702E-11;1
5.8000E+00;total;1.5286E-08;-1
5.8500E+00;~H+ -> u,D,~X;2.9440E-09;0
5.8500E+00;~H+ -> c,S,~X;2.8010E-09;0
5.8500E+00;~H+ -> u,D,~H3;2.7014E-09;0
5.8500E+00;~H+ -> c,S,~H3;2.5657E-09;0
5.8500E+00;~H+ -> ne,E,~X;9.8137E-10;0
5.8500E+00;~H+ -> nm,M,~X;9.7977E-10;0
5.8500E+00;~H+ -> ne,E,~H3;9.0049E-10;0
5.8500E+00;~H+ -> nm,M,~H3;8.9897E-10;0
5.8500E+00;~H+ -> nl,L,~X;6.3143E-10;0
5.8500E+00;~H+ -> nl,L,~H3;5.7051E-10;0
5.8500E+00;~H+ -> ~X,pi+;7.1510E-11;1
5.8500E+00;total;1.5975E-08;-1
5.9000E+00;~H+ -> u,D,~X;3.0717E-09;0
5.9000E+00;~H+ -> c,S,~X;2.9249E-09;0
5.9000E+00;~H+ -> u,D,~H3;2.8206E-09;0
5.9000E+00;~H+ -> c,S,~H3;2.6813E-09;0
5.9000E+00;~H+ -> ne,E,~X;1.0239E-09;0
5.9000E+00;~H+ -> nm,M,~X;1.0223E-09;0
5.9000E+00;~H+ -> ne,E,~H3;9.4023E-10;0
5.9000E+00;~H+ -> nm,M,~H3;9.3868E-10;0
5.9000E+00;~H+ -> nl,L,~X;6.6372E-10;0
5.9000E+00;~H+ -> nl,L,~H3;6.0037E-10;0
5.9000E+00;~H+ -> ~X,pi+;7.3348E-11;1
5.9000E+00;total;1.6688E-08;-1
5.9500E+00;~H+ -> u,D,~X;3.2038E-09;0
5.9500E+00;~H+ -> c,S,~X;3.0532E-09;0
5.9500E+00;~H+ -> u,D,~H3;2.9440E-09;0
5.9500E+00;~H+ -> c,S,~H3;2.8010E-09;0
5.9500E+00;~H+ -> ne,E,~X;1.0680E-09;0
5.9500E+00;~H+ -> nm,M,~X;1.0663E-09;0
5.9500E+00;~H+ -> ne,E,~H3;9.8137E-10;0
5.9500E+00;~H+ -> nm,M,~H3;9.7977E-10;0
5.9500E+00;~H+ -> nl,L,~X;6.9729E-10;0
5.9500E+00;~H+ -> nl,L,~H3;6.3143E-10;0
5.9500E+00;~H+ -> ~X,pi+;7.5218E-11;1
5.9500E+00;total;1.7426E-08;-1
6.0000E+00;~H+ -> u,D,~X;3.3404E-09;0
6.0000E+00;~H+ -> c,S,~X;3.1859E-09;0
6.0000E+00;~H+ -> u,D,~H3;3.0717E-09;0
6.0000E+00;~H+ -> c,S,~H3;2.9249E-09;0
6.0000E+00;~H+ -> ne,E,~X;1.1135E-09;0
6.0000E+00;~H+ -> nm,M,~X;1.1118E-09;0
6.0000E+00;~H+ -> ne,E,~H3;1.0239E-09;0
6.0000E+00;~H+ -> nm,M,~H3;1.0223E-09;0
6.0000E+00;~H+ -> nl,L,~X;7.3216E-10;0
6.0000E+00;~H+ -> nl,L,~H3;6.6373E-10;0
6.0000E+00;~H+ -> ~X,pi+;7.7119E-11;1
6.0000E+00;total;1.8190E-08;-1
6.0500E+00;~H+ -> u,D,~X;3.4816E-09;0
6.0500E+00;~H+ -> c,S,~X;3.3231E-09;0
6.0500E+00;~H+ -> u,D,~H3;3.2038E-09;0
6.0500E+00;~H+ -> c,S,~H3;3.0532E-09;0
6.0500E+00;~H+ -> ne,E,~X;1.1606E-09;0
6.0500E+00;~H+ -> nm,M,~X;1.1588E-09;0
6.0500E+00;~H+ -> ne,E,~H3;1.0680E-09;0
6.0500E+00;~H+ -> nm,M,~H3;1.0663E-09;0
6.0500E+00;~H+ -> nl,L,~X;7.6837E-10;0
6.0500E+00;~H+ -> nl,L,~H3;6.9729E-10;0
6.0500E+00;~H+ -> ~X,pi+;7.9052E-11;1
6.0500E+00;total;1.8981E-08;-1
6.1000E+00;~H+ -> u,D,~X;3.6275E-09;0
6.1000E+00;~H+ -> c,S,~X;3.4650E-09;0
6.1000E+00;~H+ -> u,D,~H3;3.3404E-09;0
6.1000E+00;~H+ -> c,S,~H3;3.1859E-09;0
6.1000E+00;~H+ -> ne,E,~X;1.2092E-09;0
6.1000E+00;~H+ -> nm,M,~X;1.2074E-09;0
6.1000E+00;~H+ -> ne,E,~H3;1.1135E-09;0
6.1000E+00;~H+ -> nm,M,~H3;1.1118E-09;0
6.1000E+00;~H+ -> nl,L,~X;8.0595E-10;0
6.1000E+00;~H+ -> nl,L,~H3;7.3216E-10;0
6.1000E+00;~H+ -> ~X,pi+;8.1017E-11;1
6.1000E+00;total;1.9799E-08;-1
