SModelS_status Analysis Disp MT_displaced_xsec Tx Tx_weights file r_max theory_pred MASS9000006 MASS37 ctau(37) BR(37)
Excluded ATLAS-SUSY-2016-32 0.0 0.002425 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.5546121107223706, 'THSCPM11': 1.2929664832257473, 'THSCPM8': 0.12655987209344263}" IDM_mhc_600_mn1_0.3981_dm_50_la2_0.01_laL_0.01_.slha.py 1.974 0.1579311 0.3981 600.0 5670.315 1[9000006,11]
Excluded CMS-EXO-13-006 0.0 0.02858 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 "{'THSCPM1b': 14.560268209158894, 'THSCPM8': 5.370731616129474, 'THSCPM2b': 1.6422839950920198e-07, 'THSCPM9': 1.3643391053465673e-07}" IDM_mhc_120_mn1_0.50118_dm_50_la2_0.01_laL_0.01_.slha.py 19.931 20.32962 0.5011 120.0 195373.231 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 4.143 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 11.183237855111619, 'THSCPM11': 15.780652227552398, 'THSCPM8': 2.4583963078235103}" IDM_mhc_260_mn1_0.0012589_dm_50_la2_0.01_laL_0.01_.slha.py 29.422 2.648006 0.001258 260.0 97.686 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.0158 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.40254065889375656, 'THSCPM11': 0.955551249416091, 'THSCPM8': 0.08744747539940086}" IDM_mhc_640_mn1_0.050118_dm_50_la2_0.01_laL_0.01_.slha.py 1.445 0.1156432 0.05011 640.0 626.434 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.2027 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.14051758026424527, 'THSCPM11': 0.37379046466559507, 'THSCPM8': 0.026932783482260223}" IDM_mhc_680_mn1_0.0025118_dm_50_la2_0.01_laL_0.01_.slha.py 0.5412 0.04329927 0.002511 680.0 27.831 1[9000006,11]
Non-excluded CMS-SUS-17-009 2.419 1.049 TSelSel "{'TSelSel': 3.4408168884066305e-05}" IDM_mhc_560_mn1_3.1622e-06_dm_50_la2_0.01_laL_0.01_.slha.py 3.44e-05 0.3186876 3.162e-06 560.0 0.05179 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 2.132 2.101 THSCPM11,THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 "{'THSCPM11': 3.125389726484171e-06, 'THSCPM1b': 3.71831693931088e-08, 'THSCPM8': 7.001389969744666e-09, 'THSCPM2b': 1.9494535959284053e-10, 'THSCPM9': 9.868788563918798e-11}" IDM_mhc_480_mn1_1.9952e-05_dm_50_la2_0.01_laL_0.01_.slha.py 3.169e-06 7.607683e-07 1.995e-05 480.0 0.4454 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0008668 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.22466004146144505, 'THSCPM11': 0.5732041054864446, 'THSCPM8': 0.05023409673472215}" IDM_mhc_720_mn1_0.63095_dm_50_la2_0.01_laL_0.01_.slha.py 0.848 0.06784786 0.6309 720.0 6224.825 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.01381 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.4709934451862823, 'THSCPM11': 1.1138376013963671, 'THSCPM8': 0.10542660134132584}" IDM_mhc_620_mn1_0.063095_dm_50_la2_0.01_laL_0.01_.slha.py 1.69 0.1352206 0.06309 620.0 843.277 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.1887 0.1717 THSCPM11,THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 "{'THSCPM11': 8.274375950007621e-08, 'THSCPM1b': 5.202474899540571e-09, 'THSCPM8': 9.015470965770682e-10, 'THSCPM2b': 2.5064575930615793e-11, 'THSCPM9': 6.2743417735098215e-12}" IDM_mhc_800_mn1_6.3095e-05_dm_50_la2_0.01_laL_0.01_.slha.py 8.887e-08 8.887912e-09 6.309e-05 800.0 0.5046 1[9000006,11]
